Area Type,Area,Year,Quarter,Ownership,NAICS,NAICS Title,Establishments,Month 1 Employment,Month 2 Employment,Month 3 Employment,Total Wage                                                                                                                       
County,Allegany County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,80,2026,2013,2006,32625121
County,Cayuga County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,167,3925,3892,3923,60117366
County,Chautauqua County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,301,6850,6853,6807,91440416
County,Chenango County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,112,2006,1988,2022,31338897
County,Columbia County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,188,3992,3955,3984,60785683
County,Delaware County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,122,1626,1664,1665,24257827
County,Essex County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,105,1677,1692,1687,22654524
County,Fulton County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,162,2908,2874,2819,41897874
County,Lewis County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,47,977,982,986,16315609
County,Livingston County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,147,2568,2548,2614,37952355
County,Madison County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,170,3121,3048,3050,46122480
County,New York County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,8604,269169,269877,271635,5801414046
County,Onondaga County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,1243,38821,38724,38637,631011718
County,Orleans County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,72,1295,1274,1282,15973702
County,Oswego County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,167,4155,4126,4116,59227190
County,Otsego County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,169,5314,5315,5271,116135946
County,Out of State Locations,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,10,35,35,36,1058301
County,Putnam County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,242,4419,4399,4424,79313491
County,Rensselaer County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,333,8603,8600,8643,136321187
County,Rockland County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,1286,33298,33546,33565,467184411
County,Saratoga County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,582,12118,11981,12012,198181872
County,Schenectady County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,333,9474,9491,9488,136253408
County,Schoharie County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,72,982,993,998,11220781
County,St. Lawrence County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,221,6407,6387,6436,116933246
County,Washington County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,107,1553,1557,1568,21025690
County,Wayne County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,163,2938,2927,2945,42908643
County,Yates County,2023,1,"Total, All Ownerships",62,Health Care and Social Assistance,63,1234,1220,1238,16511890
County,Allegany County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,81,1985,1975,1986,26157044
County,Broome County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,447,16409,16475,16586,283334771
County,Delaware County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,122,1683,1698,1738,23009916
County,Genesee County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,126,3235,3248,3278,43821347
County,Livingston County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,146,2340,2346,2357,34294092
County,New York County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,8653,270608,273215,276519,5493432274
County,Niagara County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,481,10291,10328,10558,121653739
County,Oneida County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,629,21597,21698,22072,329521643
County,Orleans County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,72,1279,1277,1308,15716447
County,Oswego County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,166,4109,4142,4165,54861604
County,Out of State Locations,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,11,31,31,32,731199
County,Rensselaer County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,334,8623,8682,8716,133308138
County,Richmond County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,1309,32804,33079,33413,551562676
County,Rockland County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,1283,33505,34086,34190,466693129
